student_id,cohort_id,synthetic_split,placement_outcome_quarantined,cgpa,backlogs,tenth_percentage,twelfth_percentage,branch,semester,problem_solving_score,communication_score,assessments_completed,skill_python,skill_sql,skill_dsa,skill_git,skill_fastapi,skill_react,skill_cloud,skill_statistics,skill_powerbi,verified_skills_count,projects_count,verified_projects_count,internships_count,experience_months,certifications_count,courses_completed,avg_course_progress,resume_uploaded,profile_completeness,target_role,role_match_score,market_alignment_score,critical_skill_gaps,readiness_score,readiness_tier,is_ready
OMEN-10011,2026-CSE,train,Rejected,7.29,0,68.9,61.4,CSE,6,51.1,39.9,4,60.3,36.8,60.9,47.7,65.3,48.1,46.5,38.6,19.5,1,1,0,0,0,3,1,49.5,1,78.9,Software Engineer,78.5,45.5,4,43,Needs Training,0
OMEN-10012,2026-IT,train,Rejected,7.75,0,62.4,57.0,IT,7,45.9,56.2,3,63.0,98.0,35.0,50.6,29.6,44.3,22.0,75.6,86.6,3,7,2,0,0,0,1,26.9,1,83.9,Data Analyst,95.8,59.3,0,67,Near-Ready,0
OMEN-10013,2026-EEE,train,Rejected,6.61,1,59.6,76.9,EEE,6,62.3,51.6,4,70.1,64.3,78.4,87.0,88.3,57.0,46.7,70.8,43.1,5,1,1,0,0,0,1,14.3,1,77.1,Software Engineer,97.9,63.9,0,63,Near-Ready,0
OMEN-10014,2026-CSE,train,Unplaced,7.67,0,69.9,68.9,CSE,6,64.2,47.9,7,58.2,54.1,55.5,36.1,30.9,33.9,66.7,75.6,23.4,2,3,0,0,0,6,3,86.0,1,88.0,AI/ML Engineer,86.4,48.1,1,61,Near-Ready,0
OMEN-10015,2026-CIVIL,train,Unplaced,5.58,2,51.5,58.1,CIVIL,6,54.7,31.0,2,59.6,59.8,41.6,40.3,7.4,29.9,15.4,72.9,57.5,1,2,0,0,0,0,2,42.7,0,63.7,Data Analyst,76.5,44.3,5,19,Needs Training,0
OMEN-10016,2026-CSE,train,Unplaced,5.27,1,51.0,45.0,CSE,8,58.0,63.9,5,52.1,58.2,57.3,73.4,47.8,71.4,38.5,39.4,37.6,2,5,1,0,0,3,1,16.8,1,96.0,Software Engineer,87.1,53.2,2,55,Needs Training,0
OMEN-10017,2026-EEE,test,Selected,8.09,0,71.6,70.5,EEE,8,56.5,75.5,4,47.3,91.0,29.9,16.3,14.7,11.6,41.7,79.8,88.4,3,1,0,1,5,1,0,1.6,1,78.1,Data Analyst,93.8,55.5,1,61,Near-Ready,0
OMEN-10018,2026-IT,test,Selected,7.29,0,54.7,57.1,IT,8,46.5,83.2,2,72.7,34.1,56.6,42.1,34.2,31.6,64.2,51.4,39.1,1,3,2,1,5,1,4,74.8,1,84.0,AI/ML Engineer,76.9,49.4,2,61,Near-Ready,0
OMEN-10019,2026-IT,train,Selected,7.77,0,72.7,67.1,IT,6,43.8,87.7,4,59.5,56.6,54.8,49.7,53.1,52.5,73.3,50.8,37.5,1,2,2,1,5,2,1,40.3,1,80.7,Software Engineer,81.7,56.5,2,61,Near-Ready,0
OMEN-10020,2026-ECE,train,Unplaced,7.25,0,66.1,67.9,ECE,7,56.5,53.1,2,65.5,45.3,46.6,37.0,30.2,50.8,23.9,58.5,54.4,1,5,3,0,0,0,0,30.4,1,92.3,Data Analyst,81.0,50.6,3,54,Needs Training,0
OMEN-10021,2026-MECH,test,Unplaced,9.8,0,84.2,93.7,MECH,6,66.4,61.3,3,58.9,79.7,61.2,65.2,38.2,24.7,44.9,89.6,66.7,4,2,2,1,3,1,1,29.0,0,63.1,Data Analyst,93.3,63.4,1,75,Ready,1
OMEN-10022,2026-CIVIL,train,Unplaced,8.77,0,65.1,67.8,CIVIL,5,54.8,57.5,2,74.9,65.7,57.0,60.6,70.9,66.3,59.9,82.1,51.5,5,1,1,0,0,1,3,71.3,1,67.5,Software Engineer,91.5,63.8,2,61,Near-Ready,0
OMEN-10023,2026-MECH,val,Selected,9.47,0,88.2,83.1,MECH,8,70.9,67.7,6,81.1,85.7,71.0,72.2,57.9,63.1,49.4,51.9,81.1,5,4,4,2,8,3,3,52.4,1,92.8,Data Analyst,93.4,71.1,1,83,Ready,1
OMEN-10024,2026-CSE,train,Selected,8.08,0,68.4,80.4,CSE,7,57.4,43.0,3,65.6,84.6,76.5,83.5,70.9,64.5,70.1,72.3,49.2,7,6,4,1,5,3,1,25.0,1,86.3,Software Engineer,99.5,65.7,0,78,Ready,1
OMEN-10025,2026-CSE,train,Rejected,7.77,0,74.6,74.8,CSE,5,32.2,57.7,4,64.6,43.6,44.1,75.9,54.5,69.2,51.1,33.1,13.6,2,1,0,1,3,4,1,31.5,1,79.1,Software Engineer,86.3,48.4,2,57,Needs Training,0
OMEN-10026,2026-CSE,train,Unplaced,6.69,1,66.3,71.3,CSE,8,55.5,57.2,3,78.0,52.1,97.1,72.1,50.3,41.4,69.7,70.4,16.2,5,4,3,1,3,1,3,72.1,1,91.0,AI/ML Engineer,91.3,58.7,0,63,Near-Ready,0
OMEN-10027,2026-EEE,test,Selected,8.32,0,75.0,67.8,EEE,8,61.0,66.0,2,62.1,96.3,50.0,39.2,31.2,28.9,39.2,90.9,71.3,3,3,1,1,5,2,1,10.0,1,82.1,Data Analyst,97.0,61.9,0,76,Ready,1
OMEN-10028,2026-CSE,train,Unplaced,7.6,0,72.5,65.7,CSE,6,70.8,64.2,6,57.3,27.4,56.6,61.1,44.7,20.6,63.9,66.7,13.3,1,4,2,0,0,1,0,0.0,0,78.1,AI/ML Engineer,74.9,48.4,2,59,Needs Training,0
OMEN-10029,2026-IT,train,Unplaced,8.23,0,87.6,66.5,IT,7,50.9,86.1,1,68.7,59.0,61.3,44.0,31.0,23.7,90.5,69.5,28.9,0,2,0,1,3,4,1,24.2,1,76.5,AI/ML Engineer,91.0,55.6,1,66,Near-Ready,0
OMEN-10030,2026-IT,val,Unplaced,7.5,0,65.2,68.6,IT,7,68.5,71.3,4,78.5,56.8,77.4,42.6,45.2,22.5,77.9,89.8,37.9,4,3,3,1,5,2,1,36.6,1,89.5,AI/ML Engineer,95.8,59.1,0,84,Ready,1
OMEN-10031,2026-IT,train,Rejected,7.43,2,71.6,66.5,IT,8,76.9,30.2,3,77.8,70.1,53.3,52.4,34.6,25.1,40.2,71.5,43.7,3,5,2,1,4,1,1,18.2,1,87.4,Data Analyst,85.2,54.6,2,45,Needs Training,0
OMEN-10032,2026-MECH,train,Selected,5.77,0,51.6,50.6,MECH,5,51.9,34.6,1,56.2,95.4,31.7,16.4,9.7,31.2,36.8,78.8,79.4,3,4,1,2,10,0,1,28.9,1,85.5,Data Analyst,89.5,49.9,2,55,Needs Training,0
OMEN-10033,2026-CSE,train,Selected,6.99,0,63.4,62.6,CSE,8,52.7,74.3,3,79.9,46.5,76.3,62.0,76.4,71.1,23.7,40.3,24.0,4,6,4,3,12,2,0,16.6,1,95.0,Software Engineer,93.3,55.1,1,76,Ready,1
OMEN-10034,2026-MECH,train,Rejected,7.04,1,62.9,69.3,MECH,8,61.9,70.6,6,90.8,60.5,86.2,87.1,78.4,73.5,53.5,42.5,48.4,5,4,4,1,5,1,3,69.6,1,99.3,Software Engineer,100.0,65.9,0,74,Near-Ready,0
OMEN-10035,2026-CIVIL,train,Unplaced,6.75,2,63.3,59.8,CIVIL,7,77.5,58.5,7,76.8,66.9,85.6,52.4,39.0,25.0,74.5,69.5,47.0,5,2,2,0,0,4,1,33.3,1,84.2,AI/ML Engineer,94.0,59.7,0,57,Needs Training,0
OMEN-10036,2026-ECE,train,Unplaced,7.76,0,76.3,62.9,ECE,5,53.7,53.8,2,67.4,49.0,34.1,35.2,22.0,28.0,51.0,62.3,48.9,1,8,1,0,0,1,3,56.4,0,63.5,Data Analyst,81.7,49.8,3,47,Needs Training,0
OMEN-10037,2026-MECH,test,Selected,7.28,0,66.9,55.2,MECH,6,48.2,69.8,2,51.9,70.6,22.8,33.9,35.4,36.8,28.4,57.9,50.0,1,1,1,0,0,1,3,53.4,1,76.2,Data Analyst,78.7,49.3,4,40,Needs Training,0
OMEN-10038,2026-CSE,test,Rejected,6.63,0,53.3,46.1,CSE,7,69.6,45.4,8,88.0,70.0,71.9,75.5,66.6,30.5,65.0,90.2,44.8,6,3,3,2,10,2,0,12.5,1,94.0,AI/ML Engineer,98.7,63.2,0,81,Ready,1
OMEN-10039,2026-EEE,train,Selected,8.59,0,73.7,78.4,EEE,6,65.4,69.4,9,64.3,74.2,67.0,78.1,58.9,50.6,56.1,57.8,49.1,3,6,3,1,3,0,2,41.0,1,90.2,Software Engineer,92.5,62.9,1,75,Ready,1
OMEN-10040,2026-ECE,train,Selected,7.8,0,70.7,61.2,ECE,6,47.5,55.2,1,61.3,63.9,41.4,53.8,28.7,11.5,21.4,75.0,63.9,0,1,0,2,6,2,2,46.4,0,45.5,Data Analyst,89.2,52.4,1,65,Near-Ready,0
OMEN-10041,2026-CIVIL,train,Rejected,6.82,1,70.8,53.8,CIVIL,8,47.9,88.7,1,61.4,46.9,52.6,35.3,23.2,20.0,36.9,49.1,14.8,0,2,0,2,8,2,2,40.3,1,72.8,AI/ML Engineer,68.5,43.6,4,37,Needs Training,0
OMEN-10042,2026-IT,train,Unplaced,6.27,2,55.5,54.3,IT,7,39.7,43.4,2,76.4,57.6,40.1,49.2,65.6,58.6,26.9,41.5,62.2,2,2,2,1,5,1,0,0.0,1,78.4,Data Analyst,73.3,52.0,4,30,Needs Training,0
OMEN-10043,2026-CSE,train,Rejected,6.78,1,66.9,60.6,CSE,7,51.3,61.7,6,64.1,39.8,62.6,76.5,72.7,68.2,48.1,35.9,17.1,3,7,5,1,5,2,2,48.1,1,90.5,Software Engineer,91.2,53.3,1,59,Needs Training,0
OMEN-10044,2026-ECE,train,Rejected,8.13,0,76.4,71.7,ECE,7,72.9,71.0,2,88.2,61.7,69.5,77.3,94.2,89.3,69.9,61.7,41.1,6,2,1,1,5,2,1,44.2,1,77.9,Software Engineer,97.6,71.5,0,74,Near-Ready,0
OMEN-10045,2026-ECE,train,Rejected,8.0,0,69.3,65.2,ECE,8,32.6,59.7,2,63.2,36.9,52.1,32.0,26.4,5.3,52.1,68.2,11.6,1,2,1,1,4,1,1,40.3,1,81.0,AI/ML Engineer,74.7,39.8,3,47,Needs Training,0
OMEN-10046,2026-CIVIL,train,Selected,8.21,0,73.2,68.7,CIVIL,7,82.0,44.4,7,35.8,83.0,45.0,26.7,11.7,9.1,64.6,60.6,68.1,2,5,3,1,3,1,1,25.7,1,94.3,Data Analyst,83.8,48.9,2,65,Near-Ready,0
OMEN-10047,2026-ECE,train,Unplaced,5.32,1,55.5,51.7,ECE,6,42.2,56.8,2,41.6,75.4,22.1,39.0,28.3,25.3,40.7,70.6,64.0,2,2,0,0,0,2,2,35.4,0,61.6,Data Analyst,81.4,48.8,2,39,Needs Training,0
OMEN-10048,2026-CSE,train,Rejected,8.04,0,74.4,67.8,CSE,7,64.9,62.7,6,71.8,55.9,79.2,79.4,78.8,62.8,77.5,53.6,40.4,5,5,2,1,3,1,1,30.5,1,93.5,Software Engineer,99.3,65.5,0,74,Near-Ready,0
OMEN-10049,2026-ECE,val,Selected,7.7,0,69.7,69.0,ECE,8,75.0,62.3,3,52.8,45.8,60.1,42.7,45.8,48.0,24.0,37.6,8.6,0,6,2,0,0,2,2,63.4,1,84.3,Software Engineer,73.8,43.5,4,48,Needs Training,0
OMEN-10050,2026-ECE,train,Rejected,6.25,1,62.3,61.5,ECE,8,67.3,61.8,6,69.5,94.8,46.2,52.9,43.2,66.0,34.7,82.0,98.0,5,5,2,1,3,0,2,38.6,1,93.9,Data Analyst,98.8,67.5,0,67,Near-Ready,0
OMEN-10051,2026-ECE,train,Selected,7.65,0,73.2,64.4,ECE,5,70.7,51.7,2,98.0,45.4,88.2,90.3,37.6,39.3,70.3,75.5,22.8,5,3,3,1,5,1,3,61.3,1,83.7,AI/ML Engineer,93.1,63.0,1,76,Ready,1
OMEN-10052,2026-IT,train,Unplaced,5.36,1,51.6,45.6,IT,6,42.7,53.8,6,76.2,34.4,64.3,84.0,52.8,60.1,41.2,18.8,19.8,2,4,3,0,0,1,0,0.0,1,92.2,Software Engineer,87.1,48.0,1,49,Needs Training,0
OMEN-10053,2026-ECE,train,Selected,8.75,0,71.7,84.9,ECE,6,73.4,56.6,3,79.2,76.1,75.6,56.1,80.2,52.3,72.7,63.2,22.9,5,1,1,1,3,3,0,18.3,1,76.3,Software Engineer,91.3,64.2,1,64,Near-Ready,0
OMEN-10054,2026-CSE,test,Selected,8.76,0,86.7,80.6,CSE,7,72.9,71.0,4,83.4,53.5,96.5,98.0,94.0,98.0,54.7,43.9,27.5,5,4,3,0,0,1,3,63.1,1,98.9,Software Engineer,99.6,70.8,0,81,Ready,1
OMEN-10055,2026-CSE,train,Rejected,4.78,3,57.0,47.3,CSE,6,61.5,41.6,2,70.7,26.6,89.5,75.7,67.4,77.2,43.2,27.7,5.0,5,1,1,0,0,4,1,42.1,0,59.8,Software Engineer,90.5,49.4,1,32,Needs Training,0
OMEN-10056,2026-IT,train,Rejected,8.63,0,73.8,82.9,IT,7,50.4,61.9,4,64.4,28.5,58.9,76.3,47.2,54.2,57.9,41.2,33.9,1,3,2,1,3,0,2,43.5,1,88.5,Software Engineer,80.2,51.0,3,55,Needs Training,0
OMEN-10057,2026-IT,train,Rejected,7.72,0,57.5,66.8,IT,7,48.9,86.0,5,50.4,64.5,31.9,68.0,42.3,48.9,69.0,61.6,71.3,3,1,0,1,5,1,2,46.7,1,83.2,Software Engineer,74.5,59.0,4,47,Needs Training,0
OMEN-10058,2026-EEE,train,Rejected,6.9,0,70.1,60.1,EEE,7,51.9,68.6,5,46.6,55.7,35.3,38.8,34.3,33.2,33.0,41.8,24.5,0,5,3,1,5,3,0,10.9,1,97.5,Software Engineer,62.0,40.2,5,49,Needs Training,0
OMEN-10059,2026-IT,train,Selected,6.63,0,58.5,68.4,IT,6,87.4,58.1,4,98.0,51.4,95.8,74.0,69.5,53.6,86.2,95.4,39.8,6,1,1,1,4,3,1,12.0,1,80.7,AI/ML Engineer,96.6,70.5,0,79,Ready,1
OMEN-10060,2026-CSE,train,Unplaced,8.0,0,74.8,71.4,CSE,6,77.5,50.9,5,76.2,41.8,82.6,81.2,97.2,51.4,65.4,30.8,5.0,5,3,1,1,4,4,2,52.7,1,92.4,Software Engineer,92.5,57.3,2,72,Near-Ready,0
OMEN-10061,2026-ECE,train,Rejected,6.34,2,54.8,65.3,ECE,7,53.7,64.1,9,50.6,68.2,44.1,14.1,28.2,11.2,41.4,73.0,49.2,2,3,1,1,3,1,2,64.6,1,88.5,Data Analyst,77.6,46.5,4,36,Needs Training,0
OMEN-10062,2026-IT,test,Selected,9.01,0,81.8,81.5,IT,6,53.8,65.6,5,76.1,92.9,43.1,55.0,34.6,27.8,56.4,69.3,74.9,4,2,2,0,0,2,3,59.0,1,81.7,Data Analyst,97.8,62.9,0,72,Near-Ready,0
OMEN-10063,2026-IT,train,Selected,6.68,0,72.0,58.7,IT,8,63.4,56.5,4,89.4,63.7,74.5,79.1,64.2,76.5,34.3,26.6,18.4,4,6,4,1,4,1,5,100.0,1,94.3,Software Engineer,99.1,58.1,0,79,Ready,1
OMEN-10064,2026-ECE,train,Rejected,7.58,0,64.1,70.3,ECE,7,79.0,37.0,7,55.8,84.1,85.7,61.5,50.4,42.0,50.6,55.7,60.8,2,1,1,1,5,0,2,44.1,1,81.8,Software Engineer,84.8,56.3,2,64,Near-Ready,0
OMEN-10065,2026-MECH,train,Selected,8.36,0,67.2,72.1,MECH,6,77.1,56.7,5,80.1,85.1,65.1,62.8,81.0,56.7,45.9,98.0,83.2,6,2,1,1,3,2,3,72.8,1,85.2,Data Analyst,99.1,74.5,0,81,Ready,1
OMEN-10066,2026-IT,train,Rejected,6.32,0,61.2,70.0,IT,5,27.9,63.1,0,49.4,51.6,35.3,55.5,42.5,29.8,46.9,21.9,26.1,0,1,0,0,0,3,1,20.0,1,67.2,Software Engineer,66.5,40.4,5,34,Needs Training,0
OMEN-10067,2026-CIVIL,train,Selected,8.61,0,83.2,73.2,CIVIL,6,51.1,56.9,3,76.7,65.6,57.7,82.5,56.9,53.0,42.3,80.7,64.7,4,3,2,2,10,1,1,7.6,1,83.3,Data Analyst,93.8,67.2,1,72,Near-Ready,0
OMEN-10068,2026-IT,train,Rejected,8.65,0,81.1,81.3,IT,6,68.0,59.6,3,62.9,38.8,64.1,57.3,37.4,22.8,81.0,83.9,25.8,2,1,0,1,4,5,0,27.8,1,72.8,AI/ML Engineer,86.5,53.6,2,66,Near-Ready,0
OMEN-10069,2026-CSE,train,Unplaced,6.66,0,68.1,63.4,CSE,7,37.5,55.4,1,51.7,60.2,24.3,53.9,25.2,17.9,83.9,80.3,39.6,2,5,1,0,0,3,0,13.8,1,80.0,AI/ML Engineer,78.4,48.8,2,51,Needs Training,0
OMEN-10070,2026-CSE,train,Selected,8.95,0,93.8,80.2,CSE,6,81.8,65.4,8,98.0,74.0,93.5,96.4,94.7,69.1,55.4,53.6,55.2,6,3,3,1,3,1,5,82.3,1,89.7,Software Engineer,100.0,73.7,0,88,Ready,1
OMEN-10071,2026-ECE,val,Selected,8.49,0,74.1,83.5,ECE,8,70.5,34.9,3,79.7,46.5,72.3,37.8,29.4,38.2,66.0,83.9,49.9,4,5,3,2,10,1,0,17.2,1,93.7,AI/ML Engineer,92.1,52.6,1,76,Ready,1
OMEN-10072,2026-IT,test,Selected,6.15,0,56.3,53.0,IT,5,49.6,75.9,3,79.9,91.5,44.7,39.4,43.0,34.8,12.1,68.2,74.0,4,2,2,0,0,0,4,93.7,1,78.4,Data Analyst,95.2,59.7,0,71,Near-Ready,0
OMEN-10073,2026-CSE,train,Rejected,6.68,0,67.0,55.2,CSE,7,49.2,71.5,1,65.4,56.8,64.0,44.9,42.5,52.4,81.3,84.0,27.4,0,0,0,1,3,2,0,17.6,1,67.0,AI/ML Engineer,92.9,57.0,1,63,Near-Ready,0
OMEN-10074,2026-MECH,val,Rejected,6.71,1,71.3,69.0,MECH,7,64.3,89.1,4,74.9,49.7,71.3,69.9,81.2,65.2,58.8,36.6,18.6,5,2,2,0,0,1,1,33.4,1,81.3,Software Engineer,94.9,61.0,0,62,Near-Ready,0
OMEN-10075,2026-IT,train,Rejected,7.44,0,59.0,73.6,IT,6,62.7,71.3,2,67.6,21.2,65.4,25.1,14.9,14.4,53.3,49.7,12.8,2,3,1,1,4,2,1,26.6,1,83.1,AI/ML Engineer,69.7,40.1,4,50,Needs Training,0
OMEN-10076,2026-ECE,val,Selected,6.27,0,63.0,49.9,ECE,7,71.6,91.8,6,62.1,79.7,47.2,27.7,23.6,45.9,22.2,85.0,90.3,3,1,1,0,0,1,3,74.7,1,84.9,Data Analyst,94.3,61.3,0,71,Near-Ready,0
OMEN-10077,2026-CIVIL,train,Unplaced,6.69,0,58.2,59.6,CIVIL,6,58.1,44.0,3,47.8,10.2,52.4,65.8,45.4,47.0,30.2,21.3,5.0,1,2,1,1,3,2,2,50.8,1,82.1,Software Engineer,64.5,34.2,5,37,Needs Training,0
OMEN-10078,2026-CSE,train,Rejected,7.57,0,82.9,75.2,CSE,7,74.5,98.0,7,81.4,39.6,87.6,76.3,64.3,82.6,67.8,36.0,29.5,5,7,7,1,4,1,1,13.7,1,97.3,Software Engineer,94.6,66.1,1,86,Ready,1
OMEN-10079,2026-CSE,train,Selected,7.6,0,65.3,69.7,CSE,7,66.8,74.7,5,61.3,41.5,66.3,44.3,58.8,44.3,59.6,30.6,23.0,1,5,5,0,0,2,3,70.3,1,93.5,Software Engineer,78.9,50.4,3,60,Near-Ready,0
OMEN-10080,2026-CSE,test,Selected,6.25,0,63.6,52.4,CSE,8,50.8,31.5,9,59.6,57.4,67.1,63.3,75.7,66.5,44.8,57.0,38.4,3,1,0,1,5,2,7,100.0,1,80.6,Software Engineer,92.8,54.6,1,65,Near-Ready,0
OMEN-10081,2026-IT,train,Rejected,8.62,0,76.4,84.0,IT,7,58.2,64.8,4,67.6,42.8,56.9,79.1,66.3,45.4,34.5,49.1,31.0,3,5,2,1,4,2,2,57.7,1,94.8,Software Engineer,86.6,53.0,3,64,Near-Ready,0
OMEN-10082,2026-CSE,train,Rejected,6.07,0,56.8,58.3,CSE,8,73.9,57.7,5,83.9,56.4,71.7,98.0,78.4,81.7,70.5,31.0,25.1,6,6,5,2,10,1,0,27.7,1,91.0,Software Engineer,98.7,64.9,0,78,Ready,1
OMEN-10083,2026-ECE,train,Selected,7.79,0,64.3,76.9,ECE,7,57.1,75.7,6,90.5,65.4,69.4,83.6,72.3,92.3,42.4,57.7,54.0,6,2,1,1,3,0,2,52.9,1,88.2,Software Engineer,98.2,70.2,0,77,Ready,1
OMEN-10084,2026-IT,test,Rejected,5.31,0,53.6,54.2,IT,8,31.2,65.8,0,52.4,67.1,64.8,64.8,47.8,48.2,38.8,46.8,26.5,0,3,0,0,0,2,0,0.0,1,78.9,Software Engineer,82.7,49.7,2,49,Needs Training,0
OMEN-10085,2026-CSE,train,Rejected,5.36,0,60.0,46.4,CSE,5,55.2,52.5,12,61.0,58.8,47.7,77.3,60.6,40.3,27.5,45.7,37.7,1,2,0,0,0,2,0,15.5,1,91.7,Software Engineer,85.2,49.7,2,50,Needs Training,0
OMEN-10086,2026-MECH,test,Selected,7.75,0,62.5,70.6,MECH,6,46.2,37.5,3,38.5,44.7,62.5,53.6,33.5,43.3,30.5,31.4,11.3,0,5,2,2,8,1,3,57.1,1,87.1,Software Engineer,68.1,36.5,4,49,Needs Training,0
OMEN-10087,2026-CSE,train,Selected,7.09,0,70.8,64.2,CSE,7,59.7,49.7,2,75.4,88.3,50.9,62.2,51.1,37.3,57.4,81.1,79.6,4,6,3,1,5,2,2,31.3,1,84.4,Data Analyst,99.5,65.4,0,82,Ready,1
OMEN-10088,2026-EEE,train,Unplaced,7.15,0,66.0,57.4,EEE,6,64.4,35.1,4,79.0,87.8,65.4,68.3,55.9,38.3,21.7,88.7,67.4,6,2,1,0,0,0,0,30.2,0,64.2,Data Analyst,95.3,63.0,0,67,Near-Ready,0
OMEN-10089,2026-CSE,val,Rejected,6.99,0,57.0,63.2,CSE,7,34.7,45.4,2,38.5,69.5,39.9,36.1,32.6,27.9,32.4,63.5,62.8,1,6,1,2,8,1,2,36.7,1,93.0,Data Analyst,74.9,46.6,5,43,Needs Training,0
OMEN-10090,2026-IT,train,Selected,7.25,0,67.0,57.4,IT,7,58.0,65.9,3,98.0,39.6,71.7,64.3,46.5,48.8,82.9,73.2,25.5,4,4,3,0,0,0,1,30.2,1,87.9,AI/ML Engineer,90.6,63.4,1,65,Near-Ready,0
OMEN-10091,2026-IT,val,Selected,7.75,0,73.8,67.4,IT,6,81.4,67.7,2,66.9,56.1,73.4,65.6,53.0,45.0,32.9,27.8,15.7,3,3,1,0,0,0,1,19.5,1,77.6,Software Engineer,88.5,52.7,1,68,Near-Ready,0
OMEN-10092,2026-IT,test,Rejected,7.13,1,68.4,68.0,IT,6,63.3,56.6,5,43.8,57.7,49.4,60.6,49.6,61.4,50.7,43.1,26.8,0,3,2,0,0,2,1,22.7,1,90.3,Software Engineer,80.2,48.0,3,45,Needs Training,0
OMEN-10093,2026-IT,train,Selected,8.48,0,72.9,85.1,IT,7,84.0,72.5,7,90.2,65.7,83.1,46.6,43.5,41.2,63.6,84.7,36.8,4,4,3,1,4,2,1,23.2,1,94.3,AI/ML Engineer,98.7,62.1,0,83,Ready,1
OMEN-10094,2026-CSE,train,Selected,9.8,0,86.6,85.3,CSE,6,78.1,56.2,3,90.8,96.9,76.7,90.9,76.3,55.2,53.6,77.3,73.2,7,5,1,2,10,4,2,47.7,0,68.5,Data Analyst,99.4,77.9,0,86,Ready,1
OMEN-10095,2026-IT,train,Rejected,8.38,0,79.4,72.2,IT,5,72.7,70.2,4,85.9,53.0,80.8,75.1,68.0,73.2,69.2,44.9,10.5,6,0,0,0,0,4,4,80.3,1,74.1,Software Engineer,98.4,63.5,0,71,Near-Ready,0
OMEN-10096,2026-MECH,train,Unplaced,7.47,1,73.1,56.8,MECH,8,68.1,74.2,3,64.2,60.6,86.4,76.7,39.1,77.6,76.3,52.6,29.1,4,3,3,1,4,1,2,47.1,1,84.0,Software Engineer,93.0,62.7,1,66,Near-Ready,0
OMEN-10097,2026-ECE,train,Rejected,7.32,0,64.9,76.0,ECE,6,62.5,47.0,4,76.4,92.8,38.7,77.8,47.6,21.9,31.3,77.7,77.4,5,3,3,1,5,2,3,76.6,0,69.9,Data Analyst,97.4,61.6,0,75,Ready,1
